"FIPS","State Name","Population White Male 65+ (2012)","Population White Male 65+ (2011)","Population White Male 65+ (2009)","Population White Male 65+ (2008)","Population White Male 65+ (2007)","Population White Male 65+ (2006)","Population White Male 65+ (2005)","Population White Male 65+ (2004)","Population White Male 65+ (2003)","Population White Male 65+ (2002)","Population White Male 65+ (2001)","Population White Male 65+ (2000)","Population White Female 65+ (2012)","Population White Female 65+ (2011)","Population White Female 65+ (2009)","Population White Female 65+ (2008)","Population White Female 65+ (2007)","Population White Female 65+ (2006)","Population White Female 65+ (2005)","Population White Female 65+ (2004)","Population White Female 65+ (2003)","Population White Female 65+ (2002)","Population White Female 65+ (2001)","Population White Female 65+ (2000)","Population Black/Afr Am Male 65+ (2012)","Population Black/Afr Am Male 65+ (2011)","Population Black/Afr Am Male 65+ (2009)","Population Black/Afr Am Male 65+ (2008)","Population Black/Afr Am Male 65+ (2007)","Population Black/Afr Am Male 65+ (2006)","Population Black/Afr Am Male 65+ (2005)","Population Black/Afr Am Male 65+ (2004)","Population Black/Afr Am Male 65+ (2003)","Population Black/Afr Am Male 65+ (2002)","Population Black/Afr Am Male 65+ (2001)","Population Black/Afr Am Male 65+ (2000)","Population Black/Afr Am Female 65+ (2012)","Population Black/Afr Am Female 65+ (2011)","Population Black/Afr Am Female 65+ (2009)","Population Black/Afr Am Female 65+ (2008)","Population Black/Afr Am Female 65+ (2007)","Population Black/Afr Am Female 65+ (2006)","Population Black/Afr Am Female 65+ (2005)","Population Black/Afr Am Female 65+ (2004)","Population Black/Afr Am Female 65+ (2003)","Population Black/Afr Am Female 65+ (2002)","Population Black/Afr Am Female 65+ (2001)","Population Black/Afr Am Female 65+ (2000)","Population Estimate (2012)","Population Estimate (2011)","Census Population (2010)","Population Estimate (2009)","Population Estimate (2008)","Population Estimate (2007)","Population Estimate (2006)","Population Estimate (2005)","Population Estimate (2004)","Population Estimate (2003)","Population Estimate (2002)","Population Estimate (2001)","Census Population (2000)","Total Hospital Beds (2012)","Total Hospital Beds (2011)","Total Hospital Beds (2010)","Total Hospital Beds (2009)","Total Hospital Beds (2008)","Total Hospital Beds (2007)","Total Hospital Beds (2006)","Total Hospital Beds (2005)","Total Hospital Beds (2004)","Total Hospital Beds (2003)","Total Hospital Beds (2002)","Total Hospital Beds (2001)","Total Hospital Beds (2000)","Pop White Male 65-74 (2010)","Pop White Male 75-84 (2010)","Pop White Male 85+ (2010)","Pop White Female 65-74 (2010)","Pop White Female 75-84 (2010)","Pop White Female 85+ (2010)","Pop Black/AA Male 65-74 (2010)","Pop Black/AA Male 75-84 (2010)","Pop Black/AA Male 85+ (2010)","Pop Black/AA Female 65-74 (2010)","Pop Black/AA Female 75-84 (2010)","Pop Black/AA Female 85+ (2010)"
"17000","Illinois","613906","591426","568016","559608","547550","542726","537973","534914","529893","526805","526969","526976","813920","793846","789157","784771","775577","770386","774418","773569","770942","770438","775848","780964","75117","72734","67814","66693","65887","65626","64511","63941","62848","62117","61569","60903","117734","114496","109946","107640","106167","104733","104964","103250","100432","99609","98556","97428","12875255","12869257","12830632","12910409","12901563","12852548","12831970","12763371","12713634","12653544","12600620","12482301","12419293","37018","37154","37995","38511","39638","39574","39543","39555","39831","41201","43056","44132","43916","317416","183658","64742","366823","260404","143417","43773","20848","5550","61688","35332","14080"
"18000","Indiana","356551","342109","322442","315423","306770","302123","298156","294919","290591","287775","286437","285017","467529","453685","446172","440219","432170","426735","425717","423801","420029","418511","419293","419764","20796","20167","19051","18727","18414","18228","17952","17751","17486","17389","17212","16973","31189","30244","29399","28888","28194","27901","27536","27398","27118","26640","26363","25972","6537334","6516922","6483802","6423113","6376792","6345289","6313520","6271973","6237569","6195643","6159068","6114745","6080485","20527","20484","20940","20661","21088","20816","20960","20711","21224","21426","21413","21644","21896","193708","104620","33629","221047","149497","75057","12103","5730","1578","16147","9406","3872"
"19000","Iowa","199131","192352","182467","182101","178754","177234","176505","175263","174731","173549","173958","174356","260953","255823","252589","253589","251259","250549","251381","250592","251527","252266","253794","255435","2231","2064","1886","1833","1762","1681","1630","1617","1583","1532","1508","1467","2747","2651","2548","2489","2444","2296","2306","2262","2282","2109","2081","2054","3074186","3062309","3046355","3007856","3002555","2988046","2982085","2966334","2954451","2944062","2936760","2923179","2926324","10551","10589","10685","10986","11163","11187","11216","12083","12335","12387","12717","13073","13396","102765","62932","23066","115492","87699","50705","1276","541","135","1397","825","319"
"20000","Kansas","161723","156083","145893","145350","141855","141637","142098","140530","138769","138642","138701","138680","208149","203325","199860","199970","197585","196251","195755","195303","196016","198121","199269","200260","5916","5656","5175","5158","5088","4890","4980","4873","4807","4754","4710","4638","8379","8162","7785","7713","7630","7423","7452","7321","7455","7180","7163","7127","2885905","2871238","2853118","2818747","2802134","2775997","2764075","2744687","2735502","2723507","2715884","2694641","2688418","12064","12073","12114","12222","12343","12418","12292","12024","12409","12565","12692","13224","13278","82496","50244","18512","92640","68725","38314","3354","1597","447","4312","2535","1035"
"21000","Kentucky","251240","240558","225845","222882","215199","209986","206620","202530","197475","195722","194410","192967","324829","314572","308611","307440","299777","294379","287459","284969","283170","283257","283133","282685","12127","11532","10971","10974","10738","10154","9982","10013","9990","9963","9963","9910","18252","17618","17358","17474","17121","16527","16232","16115","16297","15926","15969","16012","4380415","4369356","4339367","4314113","4269245","4241474","4206074","4173405","4145922","4117827","4092891","4065556","4041769","16529","16511","16620","16558","16528","16699","16869","16957","16958","16742","16876","17000","16701","142401","71026","19895","161918","101642","45233","6812","3265","929","9081","5496","2530"
"22000","Louisiana","195875","187338","178681","173157","167296","167374","167786","165869","164099","162040","161283","160392","250473","242661","240966","235736","229155","230772","232417","231979","232084","231154","231618","231781","54576","52110","47544","46346","44586","44154","47014","46338","45727","45612","45536","45437","81711","78780","75961","74561","71456","71609","75447","74770","74150","74189","73790","73451","4601893","4574836","4533372","4492076","4410796","4293204","4287768","4523628","4515770","4496334","4482646","4465430","4468976","19045","19061","19611","20007","20795","19468","19888","20836","21162","21698","21708","22108","21087","107352","57619","16478","121668","81061","34443","31828","13936","3963","42500","23648","9596"
"23000","Maine","99364","94040","87663","84490","82305","81154","81168","79711","78386","77278","76458","75541","123292","118805","115121","112008","110098","109182","109487","108030","108080","107290","107005","106642","396","348","292","268","242","214","182","183","169","165","152","142","368","295","276","259","256","213","187","192","176","146","131","120","1329192","1328188","1328361","1318301","1316456","1317207","1321574","1321505","1317253","1305728","1294464","1286670","1274923","4003","4035","4060","4062","3995","4021","4001","4042","4083","4238","4249","4415","4261","52655","29106","9231","57840","39337","19640","217","73","27","166","73","38"
"24000","Maryland","241080","229962","217927","215003","208180","205583","203627","202222","201443","199269","197162","194720","311491","300821","293546","291178","286084","281082","283043","281852","282520","280264","279194","277724","66080","62853","57636","55044","53187","52990","51087","48868","45500","44738","43652","42718","101964","96958","91219","86350","84129","82044","79668","76711","71987","70589","69308","67885","5884563","5828289","5773552","5699478","5633597","5618344","5615727","5600388","5558058","5508909","5458137","5375156","5296486","15387","15894","15940","16075","16280","15995","15326","15434","15509","15340","16130","16114","16361","125950","69879","25680","141918","97433","53565","38769","16861","4202","53262","27773","11486"
"25000","Massachusetts","372782","356083","342095","331629","325895","324962","325091","325143","324129","326726","325796","324710","507441","492040","490300","481020","476288","475499","474782","478024","482538","488867","491165","493111","16591","15739","13071","12276","11919","11689","11357","11127","11013","10757","10322","9889","25528","24193","20645","19398","19007","18935","18184","17770","17620","16941","16359","15786","6646144","6587536","6547629","6593587","6497967","6449755","6437193","6398743","6416505","6433422","6427801","6379304","6349097","20812","21349","21825","21629","22882","22590","22769","22398","22538","22345","22570","23201","23165","187837","112909","42377","220462","164117","94921","8663","3851","1136","11814","6668","2687"
"26000","Michigan","557308","533430","507696","492405","480337","471934","464659","459048","454553","453522","450450","447313","707934","686379","673335","658838","649770","641659","647800","644398","638325","635812","635974","635808","56970","54671","50617","49306","48542","47948","48046","47330","48235","48271","47928","47793","85885","82772","78745","76816","75894","75001","75619","74554","74962","74364","73830","73139","9883360","9876187","9883640","9969727","10003422","10071822","10095643","10120860","10112620","10079985","10050446","9990817","9938444","28216","28356","28568","28599","28766","28678","29224","29387","28720","29068","29199","29256","29058","297574","165580","55541","330393","227309","116902","31785","15949","5074","42347","26528","11540"
