"FIPS","State Name","Population White Male 65+ (2012)","Population White Male 65+ (2011)","Population White Male 65+ (2009)","Population White Male 65+ (2008)","Population White Male 65+ (2007)","Population White Male 65+ (2006)","Population White Male 65+ (2005)","Population White Male 65+ (2004)","Population White Male 65+ (2003)","Population White Male 65+ (2002)","Population White Male 65+ (2001)","Population White Male 65+ (2000)","Population White Female 65+ (2012)","Population White Female 65+ (2011)","Population White Female 65+ (2009)","Population White Female 65+ (2008)","Population White Female 65+ (2007)","Population White Female 65+ (2006)","Population White Female 65+ (2005)","Population White Female 65+ (2004)","Population White Female 65+ (2003)","Population White Female 65+ (2002)","Population White Female 65+ (2001)","Population White Female 65+ (2000)","Population Black/Afr Am Male 65+ (2012)","Population Black/Afr Am Male 65+ (2011)","Population Black/Afr Am Male 65+ (2009)","Population Black/Afr Am Male 65+ (2008)","Population Black/Afr Am Male 65+ (2007)","Population Black/Afr Am Male 65+ (2006)","Population Black/Afr Am Male 65+ (2005)","Population Black/Afr Am Male 65+ (2004)","Population Black/Afr Am Male 65+ (2003)","Population Black/Afr Am Male 65+ (2002)","Population Black/Afr Am Male 65+ (2001)","Population Black/Afr Am Male 65+ (2000)","Population Black/Afr Am Female 65+ (2012)","Population Black/Afr Am Female 65+ (2011)","Population Black/Afr Am Female 65+ (2009)","Population Black/Afr Am Female 65+ (2008)","Population Black/Afr Am Female 65+ (2007)","Population Black/Afr Am Female 65+ (2006)","Population Black/Afr Am Female 65+ (2005)","Population Black/Afr Am Female 65+ (2004)","Population Black/Afr Am Female 65+ (2003)","Population Black/Afr Am Female 65+ (2002)","Population Black/Afr Am Female 65+ (2001)","Population Black/Afr Am Female 65+ (2000)","Population Estimate (2012)","Population Estimate (2011)","Census Population (2010)","Population Estimate (2009)","Population Estimate (2008)","Population Estimate (2007)","Population Estimate (2006)","Population Estimate (2005)","Population Estimate (2004)","Population Estimate (2003)","Population Estimate (2002)","Population Estimate (2001)","Census Population (2000)","Total Hospital Beds (2012)","Total Hospital Beds (2011)","Total Hospital Beds (2010)","Total Hospital Beds (2009)","Total Hospital Beds (2008)","Total Hospital Beds (2007)","Total Hospital Beds (2006)","Total Hospital Beds (2005)","Total Hospital Beds (2004)","Total Hospital Beds (2003)","Total Hospital Beds (2002)","Total Hospital Beds (2001)","Total Hospital Beds (2000)","Pop White Male 65-74 (2010)","Pop White Male 75-84 (2010)","Pop White Male 85+ (2010)","Pop White Female 65-74 (2010)","Pop White Female 75-84 (2010)","Pop White Female 85+ (2010)","Pop Black/AA Male 65-74 (2010)","Pop Black/AA Male 75-84 (2010)","Pop Black/AA Male 85+ (2010)","Pop Black/AA Female 65-74 (2010)","Pop Black/AA Female 75-84 (2010)","Pop Black/AA Female 85+ (2010)"
"41000","Oregon","248251","234968","216923","211004","204031","198753","194192","189235","186338","182282","181178","179897","302054","289211","273182","267236","260427","256418","254211","250025","247363","243199","242993","242562","2586","2413","2230","2127","2036","1947","1804","1749","1732","1596","1533","1480","2920","2777","2815","2719","2611","2523","2432","2394","2295","2089","2028","1941","3899353","3871859","3831074","3825657","3790060","3747455","3700758","3641056","3594586","3559596","3521515","3472867","3421399","7876","7991","8063","7997","8372","8013","7781","7714","7729","7782","7837","7766","7718","129771","68417","25618","140784","88452","49357","1461","561","174","1474","779","335"
"42000","Pennsylvania","796349","767065","738670","722097","711219","707946","709155","709894","710562","713312","713954","714484","1065232","1040439","1045647","1030716","1023740","1023405","1032375","1037622","1042405","1049365","1056508","1062845","53741","51811","47925","47136","46659","47117","46573","46274","46414","46037","45983","45742","87202","84992","81767","80510","79522","79924","79565","78930","79386","78683","78265","77712","12763536","12742886","12702379","12604767","12448279","12432792","12440621","12429616","12406292","12365455","12335091","12287150","12281054","45062","45521","46651","45903","48363","47573","47560","47889","48215","48812","48873","50710","51289","407195","254450","89615","470466","364525","196069","30142","15205","4551","42737","27692","12036"
"44000","Rhode Island","62623","60365","57974","56619","56097","56577","57288","57204","57180","57886","57843","57786","86839","85112","84892","83678","83564","84323","85656","86692","87082","88178","88625","89089","2143","2010","1750","1582","1563","1554","1584","1570","1512","1489","1428","1384","3085","2991","2578","2474","2457","2395","2360","2311","2324","2194","2133","2040","1050292","1051302","1052567","1053209","1050788","1057832","1067610","1076189","1080632","1076164","1069725","1058920","1048319","3237","3274","3285","3318","3269","3120","3065","3086","3079","3333","3348","3378","3181","31039","19318","7823","36603","28769","17877","994","444","121","1259","809","276"
"45000","South Carolina","245014","230841","213574","202025","193125","184429","177670","171147","166734","163573","160394","157128","302002","286863","276716","264774","255503","248788","239578","234464","230469","226594","223843","221060","54719","51693","47040","45761","44094","42587","41719","40791","40417","40320","39792","39124","82972","79468","76439","75162","72476","70613","69898","68237","68768","67959","67179","66255","4723723","4679230","4625364","4561242","4479800","4407709","4321249","4255083","4198068","4147152","4107183","4063011","4012012","14156","13885","14031","13882","13928","13701","13500","13146","12917","12654","13064","13358","13636","136766","65646","17409","150404","87206","38562","31998","13322","3773","42819","23279","10259"
"46000","South Dakota","51683","49980","49239","48293","47087","45803","45041","44799","44641","44516","44418","44255","64714","63520","63721","63101","61949","61258","61550","60990","60656","60224","60436","60523","269","174","141","133","116","96","91","94","93","85","77","65","364","179","94","92","91","85","77","77","76","60","53","52","833354","824082","814180","812383","804194","796214","781919","775933","770883","764309","761063","756600","754844","4877","4769","4798","4838","4810","4959","5070","5083","5313","5113","5312","5157","5017","26249","16386","6178","28222","21973","12640","92","27","8","65","29","11"
"47000","Tennessee","356831","339970","317071","306995","294945","284352","278690","272214","263796","259307","256079","252618","454534","438400","425845","417171","405188","395187","384254","379988","377901","376546","373997","371287","35803","33692","31739","31155","30385","29283","28940","28473","28245","28023","27872","27747","56327","54088","53424","52320","51366","49985","48743","48281","48188","47847","47668","47479","6456243","6403353","6346105","6296254","6214888","6156719","6038803","5962959","5900962","5841748","5797289","5740021","5689283","22400","22759","23894","23985","24309","26428","25152","24018","23359","23984","23901","24867","24298","202143","98202","27149","226119","138805","62302","20538","8964","2543","28736","16504","6890"
"48000","Texas","1099465","1044919","963170","935212","901348","878091","859934","837824","819522","808675","793818","778198","1375649","1319846","1266374","1240194","1207294","1181683","1150703","1126920","1113214","1106406","1093600","1079684","99077","93516","84828","82392","79956","77399","74430","72777","71340","71213","70181","69084","147109","140083","131950","127981","125555","121456","116686","114075","111791","111903","110447","109331","26059203","25674681","25145561","24782302","24326974","23904380","23507783","22859968","22490022","22118509","21779893","21325018","20851820","76500","76285","77457","77787","76843","75838","74865","72927","71355","69792","69572","69426","69643","570398","299252","88736","641624","403163","177926","56547","24690","6629","74675","41568","16728"
"49000","Utah","119559","113795","108695","106642","101035","97050","92671","88796","86901","85184","83386","81626","141620","135963","132995","130488","124506","120636","116316","112287","109603","108139","106454","104808","604","543","580","578","523","496","437","428","403","381","335","313","653","603","682","631","592","511","464","428","465","410","376","352","2855287","2817222","2763885","2784572","2736424","2645330","2550063","2469585","2389039","2351467","2316256","2269789","2233169","6122","5934","6059","6069","5987","5709","5423","5536","5367","5232","5238","5231","5123","61985","34665","10844","68415","42159","18920","335","118","40","306","142","81"
"50000","Vermont","43509","41288","38569","36954","35687","34909","35022","34315","33502","32728","32387","31985","53266","51302","49788","48222","47353","46772","45889","45371","45616","45592","45276","44966","140","128","130","115","103","101","96","92","84","74","73","65","145","137","126","116","114","95","80","71","71","77","72","57","626011","626431","625741","621760","621270","621254","623908","623050","621394","619107","616592","613090","608827","1399","1362","1495","1503","1496","1547","1508","1553","1738","1771","1841","1959","1951","23473","12112","4047","25124","16213","8613","75","26","10","73","34","12"
"51000","Virginia","377734","357550","333092","325667","312735","306274","298608","291663","285056","277207","272678","267949","475067","454810","441977","435068","423077","413469","403954","396819","395124","389997","386857","383589","63598","60668","56031","55214","53666","52244","51401","50837","49141","48864","48525","48173","95220","91688","87883","86526","84528","82533","80916","79535","78154","77693","76746","75711","8185867","8096604","8001024","7882590","7769089","7712091","7642884","7567465","7459827","7386330","7293542","7187734","7078515","23328","23391","23407","23107","23536","22780","23092","23477","23495","23516","23365","23267","22909","205640","104228","32442","228031","142699","69517","36422","16956","4842","48215","28046","12273"
"53000","Washington","371105","352475","325159","315493","303687","295054","287348","280201","273983","268680","266393","263778","446452","428018","404751","396347","385210","377788","371940","364952","360822","357375","355872","353943","8364","7633","6855","6505","6318","6001","5613","5439","5446","4840","4671","4515","9098","8433","7945","7456","7315","7094","6863","6555","6496","5880","5701","5573","6897012","6830038","6724540","6664195","6549224","6468424","6395798","6287759","6203788","6131445","6068996","5987973","5894121","14525","14366","14325","14105","14108","13827","13305","13168","13453","13780","13699","13829","13604","195343","100169","37333","208549","128030","71991","4677","1877","510","4321","2388","1041"
"54000","West Virginia","133563","127952","118929","117143","114845","113161","114606","113571","111075","109685","109543","109400","167621","162897","158425","157817","155946","156042","154585","155319","156741","157308","158008","158712","2878","2676","2554","2538","2537","2429","2467","2441","2505","2440","2478","2488","4095","3910","4122","4234","4181","4139","4156","4379","4384","4404","4489","4528","1855413","1855364","1852994","1819777","1814468","1812035","1818470","1816856","1815354","1810354","1801873","1801916","1808344","8292","8448","8408","8503","8918","8974","8877","8895","8870","9199","9232","9354","9426","75208","39227","11105","82589","55655","23663","1585","743","224","1883","1374","663"
"55000","Wisconsin","347753","331876","313900","308046","300850","295146","292567","289343","287220","284539","283575","282640","439394","425607","415325","411118","405381","400151","401473","399315","398320","396369","396745","397221","9427","8928","7961","7797","7585","7429","7231","7061","6937","6624","6446","6285","13793","13186","12150","11797","11606","11185","10989","10745","10615","10022","9803","9566","5726398","5711767","5686986","5654774","5627967","5601640","5556506","5536201","5509026","5472299","5441196","5401906","5363675","15182","15154","15912","16167","16181","16500","16804","17196","17060","17375","17475","18508","18886","180321","105708","36485","197660","142137","78840","5503","2385","556","7427","3935","1314"
"56000","Wyoming","34175","32811","29662","29013","28135","27694","27335","26629","25945","25601","25280","24926","38560","37319","35112","34603","33853","33313","33255","33035","32538","32234","31993","31711","379","183","148","148","140","134","123","123","125","121","111","107","443","178","166","163","156","153","145","144","151","137","125","122","576412","568158","563626","544270","532668","522830","515004","509294","506529","501242","498703","494423","493782","2572","2607","2680","2661","2675","2648","2579","2527","2544","2326","2337","2332","2302","18828","9525","2972","19058","11603","5396","82","50","12","66","50","25"
