"FIPS","Population Estimate (2012)","Population Estimate (2011)","Census Population (2010)","Population Estimate (2009)","Population Estimate (2008)","Population Estimate (2007)","Population Estimate (2006)","Population Estimate (2005)","Population Estimate (2004)","Population Estimate (2003)","Population Estimate (2002)","Population Estimate (2001)","Census Population (2000)","Population Estimate (1999)","Population Estimate (1998)","Population Estimate (1997)","Population Estimate (1996)","Population Estimate (1995)"
"45000","4723723","4679230","4625364","4561242","4479800","4407709","4321249","4255083","4198068","4147152","4107183","4063011","4012012","3885736","3835962","3760181","3698746","3673287"
"46000","833354","824082","814180","812383","804194","796214","781919","775933","770883","764309","761063","756600","754844","733133","738171","737973","732405","729034"
"47000","6456243","6403353","6346105","6296254","6214888","6156719","6038803","5962959","5900962","5841748","5797289","5740021","5689283","5483535","5430621","5368198","5319654","5256051"
"48000","26059203","25674681","25145561","24782302","24326974","23904380","23507783","22859968","22490022","22118509","21779893","21325018","20851820","20044141","19759614","19439337","19128261","18723991"
"49000","2855287","2817222","2763885","2784572","2736424","2645330","2550063","2469585","2389039","2351467","2316256","2269789","2233169","2129836","2099758","2059148","2000494","1951408"
"50000","626011","626431","625741","621760","621270","621254","623908","623050","621394","619107","616592","613090","608827","593740","590883","588978","588654","584771"
"51000","8185867","8096604","8001024","7882590","7769089","7712091","7642884","7567465","7459827","7386330","7293542","7187734","7078515","6872912","6791345","6733996","6675451","6618358"
"53000","6897012","6830038","6724540","6664195","6549224","6468424","6395798","6287759","6203788","6131445","6068996","5987973","5894121","5756361","5689263","5610362","5532939","5430940"
"54000","1855413","1855364","1852994","1819777","1814468","1812035","1818470","1816856","1815354","1810354","1801873","1801916","1808344","1806928","1811156","1815787","1825754","1828140"
"55000","5726398","5711767","5686986","5654774","5627967","5601640","5556506","5536201","5509026","5472299","5441196","5401906","5363675","5250446","5223500","5169677","5159795","5122871"
"56000","576412","568158","563626","544270","532668","522830","515004","509294","506529","501242","498703","494423","493782","479602","480907","479743","481400","480184"
