FIPS,State Name,State Abbrev,Region,Year,Per Capita Income,Population Estimate,Total Number Hospitals,Total Hospital Beds,"MD's, NF, Prim Care Pat Care Excl Hsp Rsdnts","MD's, NF, Prim Care Pat Care Hosp Rsdnts","DO's, NF, Prim Care Pat Care Excl Hsp Rsdnts","DO's, NF, Prim Care Pat Care Hosp Rsdnts",Population per Square Mile
13000,Georgia,GA,South,2011,35979,9815210,183,30245,5814,719,330,17,170.7
15000,Hawaii,HI,West,2011,42925,1374810,28,3229,1116,148,58,2,214.1
16000,Idaho,ID,West,2011,32881,1584985,52,3883,807,74,135,4,19.2
17000,Illinois,IL,Midwest,2011,43721,12869257,215,37154,9281,2141,856,75,231.8
18000,Indiana,IN,Midwest,2011,35689,6516922,161,20484,3909,449,326,33,181.9
19000,Iowa,IA,Midwest,2011,41156,3062309,126,10589,1602,222,608,72,54.8
20000,Kansas,KS,Midwest,2011,40883,2871238,158,12073,1780,233,300,32,35.1
21000,Kentucky,KY,South,2011,33989,4369356,130,16511,2623,291,177,23,110.7
22000,Louisiana,LA,South,2011,38549,4574836,226,19061,2865,655,40,6,105.9
23000,Maine,ME,Northeast,2011,38299,1328188,42,4035,1098,88,323,43,43.1
24000,Maryland,MD,South,2011,50656,5828289,69,15894,4946,859,193,2,600.4
25000,Massachusetts,MA,Northeast,2011,53471,6587536,109,21349,6487,1403,259,32,844.5
26000,Michigan,MI,Midwest,2011,36264,9876187,174,28356,6219,1461,1570,48,174.7
27000,Minnesota,MN,Midwest,2011,44560,5344861,148,16218,4581,628,207,21,67.1
28000,Mississippi,MS,South,2011,32000,2978512,116,15610,1417,164,151,13,63.5
29000,Missouri,MO,Midwest,2011,37969,6010688,155,22046,3339,754,791,83,87.4
30000,Montana,MT,West,2011,36016,998199,65,4325,669,21,73,1,6.9
31000,Nebraska,NE,Midwest,2011,42450,1842641,98,7820,1243,271,69,23,24
32000,Nevada,NV,West,2011,36964,2723322,58,7156,1382,147,181,14,24.8
33000,New Hampshire,NH,Northeast,2011,45881,1318194,32,3323,1079,90,132,4,147.2
34000,New Jersey,NJ,Northeast,2011,52430,8821155,95,25461,6557,1277,959,21,1199.5
35000,New Mexico,NM,West,2011,34133,2082224,54,5281,1418,167,117,9,17.2
36000,New York,NY,Northeast,2011,51126,19465197,235,71088,14856,5271,1147,55,413
37000,North Carolina,NC,South,2011,36028,9656401,144,28245,6287,789,318,33,198.6
38000,North Dakota,ND,Midwest,2011,47236,683932,50,3598,494,70,24,2,9.9
39000,Ohio,OH,Midwest,2011,37836,11544951,216,37524,7404,1690,1263,129,282.5
40000,Oklahoma,OK,South,2011,37679,3791508,158,13719,1749,299,625,15,55.3
41000,Oregon,OR,West,2011,37527,3871859,65,7991,3150,325,323,41,40.3
42000,Pennsylvania,PA,Northeast,2011,42291,12742886,243,45521,8082,2085,2159,102,284.8
44000,Rhode Island,RI,Northeast,2011,43875,1051302,16,3274,871,253,100,7,1016.9
45000,South Carolina,SC,South,2011,33388,4679230,88,13885,2872,439,177,31,155.7
46000,South Dakota,SD,Midwest,2011,44217,824082,64,4769,566,61,54,8,10.9
47000,Tennessee,TN,South,2011,36567,6403353,150,22759,4351,660,265,21,155.3
48000,Texas,TX,South,2011,40147,25674681,592,76285,13270,2077,1459,139,98.3
49000,Utah,UT,West,2011,33509,2817222,53,5934,1411,253,154,9,34.3
50000,Vermont,VT,Northeast,2011,41572,626431,16,1362,652,89,25,2,68
51000,Virginia,VA,South,2011,46107,8096604,121,23391,5736,728,285,37,205
53000,Washington,WA,West,2011,43878,6830038,107,14366,5229,530,389,35,102.8
54000,West Virginia,WV,South,2011,33403,1855364,65,8448,1070,225,351,10,77.2
55000,Wisconsin,WI,Midwest,2011,39575,5711767,150,15154,4250,491,381,34,105.5
56000,Wyoming,WY,West,2011,47898,568158,32,2607,352,29,33,5,5.9
1000,Alabama,AL,South,2010,33504,4779736,128,18197,2749,406,167,20,94.4
2000,Alaska,AK,West,2010,44233,710231,27,1949,533,35,67,3,1.2
4000,Arizona,AZ,West,2010,34539,6392017,101,15807,3438,443,600,41,56.3
5000,Arkansas,AR,South,2010,32805,2915918,105,11235,1687,268,124,8,56
6000,California,CA,West,2010,42514,37253956,422,86519,26198,3022,1644,142,239.2
8000,Colorado,CO,West,2010,42295,5029196,95,11803,3449,399,472,30,48.5
9000,Connecticut,CT,Northeast,2010,54239,3574097,46,9834,2798,694,126,6,738.1
10000,Delaware,DE,South,2010,40097,897934,12,2668,538,72,102,11,460.8
11000,Dist. of Columbia,DC,South,2010,70710,601723,15,4272,684,410,24,5,9856.5
12000,Florida,FL,South,2010,38210,18801310,249,58802,11657,1176,1436,65,350.6
13000,Georgia,GA,South,2010,34747,9687653,182,30680,5697,652,331,16,168.4
15000,Hawaii,HI,West,2010,41550,1360301,30,3706,1114,99,61,3,211.8
16000,Idaho,ID,West,2010,31897,1567582,52,3927,794,71,123,6,19
17000,Illinois,IL,Midwest,2010,42040,12830632,218,37995,9092,2114,848,83,231.1
18000,Indiana,IN,Midwest,2010,33981,6483802,159,20940,3849,471,319,39,181
19000,Iowa,IA,Midwest,2010,38039,3046355,126,10685,1586,248,601,85,54.5
20000,Kansas,KS,Midwest,2010,38977,2853118,157,12114,1725,199,301,29,34.9
21000,Kentucky,KY,South,2010,32316,4339367,130,16620,2585,292,153,31,109.9
22000,Louisiana,LA,South,2010,37039,4533372,225,19611,2791,565,35,9,104.9
23000,Maine,ME,Northeast,2010,36763,1328361,42,4060,1086,100,308,49,43.1
24000,Maryland,MD,South,2010,49023,5773552,70,15940,4828,783,188,9,594.8
25000,Massachusetts,MA,Northeast,2010,51304,6547629,110,21825,6396,1335,246,43,839.4
26000,Michigan,MI,Midwest,2010,34714,9883640,176,28568,6196,1303,1578,56,174.8
27000,Minnesota,MN,Midwest,2010,42798,5303925,148,16592,4463,594,197,26,66.6
28000,Mississippi,MS,South,2010,31071,2967297,115,16255,1401,152,146,13,63.2
29000,Missouri,MO,Midwest,2010,36799,5988927,156,22012,3237,727,773,67,87.1
30000,Montana,MT,West,2010,35053,989415,65,4441,658,21,72,1,6.8
31000,Nebraska,NE,Midwest,2010,39534,1826341,99,8253,1231,256,64,18,23.8
32000,Nevada,NV,West,2010,36938,2700551,56,7041,1340,128,181,17,24.6
33000,New Hampshire,NH,Northeast,2010,43698,1316470,32,3348,1071,89,124,2,147.1
34000,New Jersey,NJ,Northeast,2010,51139,8791894,96,27032,6499,1062,957,20,1195.5
35000,New Mexico,NM,West,2010,33342,2059179,56,5459,1351,179,115,8,17
36000,New York,NY,Northeast,2010,48596,19378102,238,72936,14755,4557,1117,54,411.2
37000,North Carolina,NC,South,2010,35007,9535483,146,28548,6170,777,290,33,196.1
38000,North Dakota,ND,Midwest,2010,42890,672591,50,3838,497,78,23,3,9.8
39000,Ohio,OH,Midwest,2010,36162,11536504,216,38225,7305,1616,1254,130,282.3
40000,Oklahoma,OK,South,2010,35389,3751351,157,13465,1697,271,627,30,54.7
41000,Oregon,OR,West,2010,36317,3831074,65,8063,3080,319,306,23,39.9
42000,Pennsylvania,PA,Northeast,2010,40604,12702379,244,46651,7882,2065,2110,131,283.9
44000,Rhode Island,RI,Northeast,2010,41995,1052567,16,3285,843,263,100,4,1018.1
45000,South Carolina,SC,South,2010,32462,4625364,87,14031,2830,423,172,30,153.9
46000,South Dakota,SD,Midwest,2010,39519,814180,64,4798,557,52,54,8,10.7
47000,Tennessee,TN,South,2010,34921,6346105,152,23894,4258,619,255,21,153.9
48000,Texas,TX,South,2010,37747,25145561,592,77457,12887,1931,1411,167,96.3
49000,Utah,UT,West,2010,32517,2763885,53,6059,1404,235,142,10,33.6
50000,Vermont,VT,Northeast,2010,40134,625741,17,1495,650,88,22,1,67.9
51000,Virginia,VA,South,2010,44267,8001024,120,23407,5644,736,275,38,202.6
53000,Washington,WA,West,2010,42589,6724540,106,14325,5140,509,376,41,101.2
54000,West Virginia,WV,South,2010,32042,1852994,66,8408,1066,200,350,11,77.1
55000,Wisconsin,WI,Midwest,2010,38225,5686986,147,15912,4197,519,368,52,105
56000,Wyoming,WY,West,2010,44961,563626,32,2680,341,28,28,8,5.8
