FIPS,State Abbrev,State Name,Population Estimate (2012),Tot Hospital Admissions (2012),Tot Hospital Admissions (2011),Tot Hospital Admissions (2010),Tot Hospital Admissions (2009),Tot Hospital Admissions (2008),Tot Hospital Admissions (2007),Total Number Hospitals (2012),Total Number Hospitals (2011),Total Number Hospitals (2010),Total Number Hospitals (2009),Total Number Hospitals (2008),Total Number Hospitals (2007),Total Hospital Beds (2012),Total Hospital Beds (2011),Total Hospital Beds (2010),Total Hospital Beds (2009),Total Hospital Beds (2008),Total Hospital Beds (2007),Population Estimate (2013),Population Estimate (2012),Population Estimate (2011),Census Population (2010),Population Estimate (2009),Population Estimate (2008),Population Estimate (2007),Population Male < 15 (2013),Population Male 15-19 (2013),Population Male 20-24 (2013),Population Male 25-44 (2013),Population Male 45-64 (2013),Population Male 65+ (2013),Population Female < 15 (2013),Population Female 15-19 (2013),Population Female 20-24 (2013),Population Female 25-44 (2013),Population Female 45-64 (2013),Population Female 65+ (2013),Persons < 65 with Health Insurance (2013),Persons < 65 without Health Ins (2013),% Good Air Quality Days (2013)
36000,NY,New York,19570261,2538768,2593264,2613496,2636588,2633295,2633382,228,235,238,242,248,253,69814,71088,72936,73566,74554,75664,19651127,19570261,19465197,19378102,19541453,19490297,19297729,1790801,651942,727273,2631807,2539435,1194935,1711258,627830,713418,2691877,2733005,1637546,14373603,2037979,
37000,NC,North Carolina,9752073,1086751,1106906,1115762,1114485,1106250,1087426,143,144,146,141,141,142,26616,28245,28548,27756,27988,28116,9848060,9752073,9656401,9535483,9380884,9222414,9061032,974057,334329,369732,1270938,1243141,608415,933804,317166,341902,1312571,1343321,798684,6731060,1488551,
38000,ND,North Dakota,699628,101840,101853,103068,102125,96417,96230,50,50,50,50,51,50,3672,3598,3838,3857,3908,3886,723393,699628,683932,672591,646844,641481,639715,70147,25534,37919,98031,92649,45721,66823,23380,31587,85720,88788,57094,527542,74043,
39000,OH,Ohio,11544225,1564718,1565690,1575209,1589682,1608556,1614461,219,216,216,214,214,209,37574,37524,38225,38103,38198,37512,11570808,11544225,11544951,11536504,11542645,11485910,11466917,1117136,399167,399872,1429152,1558869,755463,1068199,381082,393176,1439894,1631964,996834,8311643,1246964,
40000,OK,Oklahoma,3814820,487478,495023,491820,494203,521918,518282,155,158,157,158,158,156,13600,13719,13465,13297,13009,12971,3850568,3814820,3791508,3751351,3687050,3642361,3617316,406583,132478,149002,502761,473577,242891,387988,123913,139999,492104,493042,306230,2552417,662280,
41000,OR,Oregon,3899353,349051,357430,361757,356963,378748,357763,64,65,65,64,64,63,7876,7991,8063,7997,8372,8013,3930065,3899353,3871859,3831074,3825657,3790060,3747455,363388,126014,135855,529604,514132,275417,347188,119957,132631,517926,535975,331978,2698647,560442,
42000,PA,Pennsylvania,12763536,1787784,1857490,1914065,1936700,2023300,1986669,240,243,244,242,254,247,45062,45521,46651,45903,48363,47573,12773801,12763536,12742886,12702379,12604767,12448279,12432792,1142049,432225,445889,1574780,1752531,894866,1091962,414935,433149,1566454,1828497,1196464,9136193,1203230,
44000,RI,Rhode Island,1050292,127820,134735,137432,140254,138387,140902,16,16,16,16,16,16,3237,3274,3285,3318,3269,3120,1051511,1050292,1051302,1052567,1053209,1050788,1057832,89768,37437,41362,130178,142066,68616,85298,37267,40809,131596,152916,94198,737828,118371,
45000,SC,South Carolina,4723723,534671,538583,549840,555605,554614,547644,87,88,87,89,88,89,14156,13885,14031,13882,13928,13701,4774839,4723723,4679230,4625364,4561242,4479800,4407709,458606,160713,182092,596105,605030,320573,442576,150631,173236,612881,665201,407195,3185432,729643,
46000,SD,South Dakota,833354,122638,115599,113687,116224,116478,112522,65,64,64,65,65,64,4877,4769,4798,4838,4810,4959,844877,833354,824082,814180,812383,804194,796214,89795,29480,31708,106450,110552,56393,84893,27939,29141,99771,108985,69770,608157,89614,
47000,TN,Tennessee,6456243,872716,856198,878659,912214,913956,1093558,148,150,152,155,157,158,22400,22759,23894,23985,24309,26428,6495978,6456243,6403353,6346105,6296254,6214888,6156719,632526,214445,232538,834744,836139,416702,607902,204642,229454,853104,898108,535674,4527848,876189,
48000,TX,Texas,26059203,2864368,2865292,2910048,2945742,2894144,2864281,602,592,592,585,580,575,76500,76285,77457,77787,76843,75838,26448193,26059203,25674681,25145561,24782302,24326974,23904380,3012501,971607,1016417,3729872,3104118,1312487,2887923,915489,951812,3676283,3216004,1653680,17231505,5696712,
49000,UT,Utah,2855287,256256,248773,241004,238798,241384,239026,54,53,53,53,54,53,6122,5934,6059,6069,5987,5709,2900872,2855287,2817222,2763885,2784572,2736424,2645330,389710,114156,125048,413889,285911,130267,369755,109556,120676,399546,288990,153368,2179967,393119,
50000,VT,Vermont,626011,54882,54336,54698,55907,56111,54610,16,16,17,17,17,17,1399,1362,1495,1503,1496,1547,626630,626011,626431,625741,621760,621270,621254,51461,22767,23530,72137,92901,46392,48316,21806,21773,72756,96710,56081,458639,43850,
51000,VA,Virginia,8185867,869446,864349,850169,863688,861870,852087,122,121,120,119,122,119,23328,23391,23407,23107,23536,22780,8260405,8185867,8096604,8001024,7882590,7769089,7712091,793352,273415,310835,1128015,1071835,484750,761687,263763,290690,1122064,1139368,620631,5963804,970614,
53000,WA,Washington,6897012,638405,629632,642987,647260,625192,611259,107,107,106,106,105,106,14525,14366,14325,14105,14108,13827,6971406,6897012,6830038,6724540,6664195,6549224,6468424,679650,225592,257907,975533,913303,430685,649167,213899,236018,933864,935389,520399,4975491,942751,
54000,WV,West Virginia,1855413,294427,301616,290799,297049,308245,311057,65,65,66,66,67,69,8292,8448,8408,8503,8918,8974,1854304,1855413,1855364,1852994,1819777,1814468,1812035,161553,57955,63670,228349,261029,143020,154447,54315,61654,222682,268609,177021,1234147,254093,
55000,WI,Wisconsin,5726398,616577,609079,626900,652057,651995,650170,151,150,147,149,148,147,15182,15154,15912,16167,16181,16500,5742713,5726398,5711767,5686986,5654774,5627967,5601640,553701,196628,203040,724072,797332,377387,529021,188096,196273,702520,802063,472580,4262014,505168,
56000,WY,Wyoming,576412,50890,53543,57343,64032,57858,57588,32,32,32,31,31,30,2572,2607,2680,2661,2675,2648,582658,576412,568158,563626,544270,532668,522830,59070,19661,22834,79227,79513,36973,56267,18244,20169,71828,77156,41716,414299,77868,
