FIPS,Tot Hospital Admissions (2012),Tot Hospital Admissions (2011),Tot Hospital Admissions (2010),State Name,State,Tot Hospital Admissions (2009),Tot Hospital Admissions (2008),Tot Hospital Admissions (2007),Total Number Hospitals (2012),Total Number Hospitals (2011),Total Number Hospitals (2010),Total Number Hospitals (2009),Total Number Hospitals (2008),Total Hospital Beds (2012),Total Hospital Beds (2011),Total Hospital Beds (2010),Total Hospital Beds (2009),Total Hospital Beds (2008),Total Hospital Beds (2007),Total Number Hospitals (2007),Population Estimate (2013),Population Estimate (2012),Population Estimate (2011),Population Estimate (2009),Population Estimate (2008),Census Population (2010),Population Estimate (2007),Population Male &lt; 15 (2013),Population Male 15-19 (2013),Population Male 20-24 (2013),Population Male 25-44 (2013),Population Male 45-64 (2013),Population Male 65+ (2013),Population Female &lt; 15 (2013),Population Female 25-44 (2013),Population Female 65+ (2013),Persons &lt; 65 with Health Insurance (2013),Persons &lt; 65 without Health Ins (2013)
22000,655133,681226,715670,Louisiana,LA,723637,731280,697859,220,226,225,228,244,19045,19061,19611,20007,20795,19468,213,4625470,4601893,4574836,4492076,4410796,4533372,4293204,474938,154191,177105,610054,581971,265674,455891,614645,347812,3148044,745580
23000,148926,151751,153395,Maine,ME,157801,155812,158744,42,42,42,42,42,4003,4035,4060,4062,3995,4021,42,1328302,1329192,1328188,1318301,1316456,1328361,1317207,109175,42695,40364,152734,199504,105748,103827,155960,129319,921592,143376
24000,709008,739716,760704,Maryland,MD,772806,757199,749696,67,69,70,71,73,15387,15894,15940,16075,16280,15995,73,5928814,5884563,5828289,5699478,5633597,5773552,5618344,569088,199051,206441,778330,780610,341242,546378,809421,453739,4426563,584983
25000,854581,894373,883595,Massachusetts,MA,887435,877713,904017,108,109,110,111,116,20812,21349,21825,21629,22882,22590,115,6692824,6646144,6587536,6593587,6497967,6547629,6449755,584494,230452,242361,864922,901285,421302,559531,890700,568010,5272042,238884
26000,1230112,1235322,1252323,Michigan,MI,1268152,1283176,1252007,172,174,176,178,179,28216,28356,28568,28599,28766,28678,176,9895622,9883360,9876187,9969727,10003422,9883640,10071822,940666,351366,368008,1190125,1355762,653357,898116,1198477,834236,7161532,1058668
27000,596916,613203,609476,Minnesota,MN,642399,658084,648658,147,148,148,150,150,15980,16218,16592,16980,17153,18028,147,5420380,5379139,5344861,5266214,5220393,5303925,5197621,544964,182826,183607,714716,731173,336013,521297,696135,420064,4138533,433806
28000,414628,422298,441821,Mississippi,MS,458653,481861,473841,117,116,115,116,118,15527,15610,16255,16182,16656,16636,120,2991207,2984926,2978512,2951996,2938618,2967297,2918785,314396,106111,115730,372800,366553,178997,300580,387280,237303,1988507,497103
29000,844098,873139,871492,Missouri,MO,881578,890727,888440,155,155,156,158,156,21826,22046,22012,22231,22247,21807,153,6044171,6021988,6010688,5987580,5911605,5988927,5878415,593882,204558,219196,762070,787562,396689,567092,765996,511088,4227027,761124
30000,102425,102625,106606,Montana,MT,111052,113070,113435,65,65,65,65,65,4421,4325,4441,4574,4493,4589,64,1015165,1005141,998199,974989,967440,989415,957861,95161,33630,38600,123744,140718,77945,91111,118391,86823,665038,166750
31000,218808,221071,228891,Nebraska,NE,228632,232941,233588,98,98,99,96,96,7760,7820,8253,8405,8637,8861,96,1868516,1855525,1842641,1796619,1783432,1826341,1774571,199862,65134,69410,243016,236054,116350,190607,233511,147658,1359869,201408
32000,320795,306909,296350,Nevada,NV,302359,298501,287361,57,58,56,56,56,7114,7156,7041,7002,7048,6700,52,2790136,2758931,2723322,2643085,2600167,2700551,2565382,281531,91316,96729,397277,358572,180009,268880,379217,200891,1824384,552362
33000,128298,129460,126667,New Hampshire,NH,130387,130517,127878,32,32,32,32,32,3314,3323,3348,3418,3413,3396,32,1323459,1320718,1318194,1324575,1315809,1316470,1315828,111825,46139,45047,157294,201748,91660,107545,156428,111545,946996,139339
34000,1083160,1092295,1114447,New Jersey,NJ,1144290,1140867,1136046,98,95,96,98,100,25711,25461,27032,27042,27114,27943,100,8899339,8864590,8821155,8707739,8682661,8791894,8685920,851654,298956,292001,1157131,1200423,543800,814759,1164383,739668,6359353,1125347
35000,207063,203887,214080,New Mexico,NM,212020,201442,194263,54,54,56,56,56,5320,5281,5459,5317,5315,4984,52,2085287,2085538,2082224,2009671,1984356,2059179,1969915,216134,71966,79698,265569,260817,139425,208281,256797,167236,1362526,381887
36000,2538768,2593264,2613496,New York,NY,2636588,2633295,2633382,228,235,238,242,248,69814,71088,72936,73566,74554,75664,253,19651127,19570261,19465197,19541453,19490297,19378102,19297729,1790801,651942,727273,2631807,2539435,1194935,1711258,2691877,1637546,14373603,2037979
37000,1086751,1106906,1115762,North Carolina,NC,1114485,1106250,1087426,143,144,146,141,141,26616,28245,28548,27756,27988,28116,142,9848060,9752073,9656401,9380884,9222414,9535483,9061032,974057,334329,369732,1270938,1243141,608415,933804,1312571,798684,6731060,1488551
38000,101840,101853,103068,North Dakota,ND,102125,96417,96230,50,50,50,50,51,3672,3598,3838,3857,3908,3886,50,723393,699628,683932,646844,641481,672591,639715,70147,25534,37919,98031,92649,45721,66823,85720,57094,527542,74043
39000,1564718,1565690,1575209,Ohio,OH,1589682,1608556,1614461,219,216,216,214,214,37574,37524,38225,38103,38198,37512,209,11570808,11544225,11544951,11542645,11485910,11536504,11466917,1117136,399167,399872,1429152,1558869,755463,1068199,1439894,996834,8311643,1246964
40000,487478,495023,491820,Oklahoma,OK,494203,521918,518282,155,158,157,158,158,13600,13719,13465,13297,13009,12971,156,3850568,3814820,3791508,3687050,3642361,3751351,3617316,406583,132478,149002,502761,473577,242891,387988,492104,306230,2552417,662280
